year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
1975,myn,0.47,31.66,34.97,28.68,2128.18,0.01,
1976,myn,0.57,22.38,38.93,28.62,2036.73,0.1,
1977,myn,0.57,1.16,27.68,28.38,1983.85,0.18,
1978,myn,0.53,6.04,29.06,29.03,2058.07,0.07,
1979,myn,0.56,5.67,29.01,29.57,1839.09,0.16,
1980,myn,0.57,0.61,31.02,29.19,2127.11,0.26,
1981,myn,0.57,0.32,32.57,28.64,2056.59,0.32,
1982,myn,0.6,5.3,42.63,28.73,1814.55,0.14,
1983,myn,0.63,5.65,39,28.75,2076.22,0.31,
1984,myn,0.66,4.85,36.06,28.88,1807.82,0.16,
1985,myn,0.71,6.81,40.1,28.83,1942.36,0.12,
1986,myn,0.78,9.33,42.13,29.04,1695.14,0.18,
1987,myn,0.97,24.76,40.87,29.31,1827.95,0.32,
1988,myn,1.12,16.04,39.65,29.31,2197.59,0.39,
1989,myn,1.43,27.2,50.99,29.09,1909.76,0.27,
1990,myn,1.68,17.63,52.75,29.06,1949.66,0.45,0.1
1991,myn,2.22,32.27,50.88,29.03,2026.85,0.4,0.1
1992,myn,2.71,21.91,58.48,28.68,2015.49,0.22,0.1
1993,myn,3.57,31.83,75.69,28.85,1818.62,0.23,0.12
1994,myn,4.43,24.1,104.69,29.17,2093.81,0.31,0.13
1995,myn,5.55,25.19,123.35,29.1,2057,0.45,0.16
1996,myn,6.45,16.28,141.02,28.8,2169.44,0.33,0.17
1997,myn,8.37,29.7,107.39,28.86,2013.39,0.46,0.16
1998,myn,12.68,51.49,145.1,29.67,1967.55,0.61,0.18
1999,myn,15.01,18.4,188.42,29.05,2168.04,0.38,0.19
2000,myn,14.99,0.11,195.55,28.69,2082.23,0.39,0.21
2001,myn,18.15,21.1,140.78,29,2081.19,0.53,0.18
2002,myn,28.52,57.07,145.82,28.96,2209.61,0.63,0.18
2003,myn,38.95,36.59,223.06,28.96,1921.06,0.62,0.22
2004,myn,40.72,4.53,223.23,28.87,2053.25,0.53,0.22
2005,myn,44.53,9.37,251.17,29.25,1937.82,0.68,0.23
2006,myn,53.44,20,301.58,29.28,2248.95,0.64,0.21
2007,myn,72.15,35.02,416.6,28.91,2232.75,0.66,0.22
2008,myn,91.49,26.8,653.87,28.65,2062.18,0.54,0.16
2009,myn,92.83,1.47,752.94,29.47,1935.43,0.66,0.15
2010,myn,100,7.72,1003.03,29.72,2119.22,0.72,0.16
2011,myn,105.02,5.02,1204.5,28.76,2348.92,0.61,0.17
2012,myn,106.56,1.47,1193.55,29.27,1838.93,0.65,0.24
2013,myn,112.58,5.64,1189.96,29.04,2130.81,0.68,0.27
2014,myn,118.15,4.95,1281.44,29.47,1641.56,0.74,0.33
2015,myn,129.32,9.45,1159.34,29.22,1965.6,0.9,0.37
2016,myn,138.28,6.93,1218.22,29.4,2236.57,1.02,0.42
2017,myn,144.61,4.57,1263.29,29.13,2255.79,0.92,0.62
2018,myn,154.54,6.87,1288.42,28.9,2042.34,0.85,0.62
2019,myn,168.18,8.83,1415.38,29.73,1866.29,0.98,0.64
2020,myn,0,0,1479.61,29.53,1982.62,1.01,0.63
2021,myn,0,0,1231.69,29.44,1982.52,0.85,
2022,myn,0,0,1149.21,29.2,2061.44,0.89,
1961,php,1.15,1.6,278.48,30.1,2473.91,0.06,
1962,php,1.21,5.8,164.14,29.96,2694.72,0.03,
1963,php,1.28,5.63,177.33,29.82,2270.4,0.05,
1964,php,1.39,8.18,186.54,30.06,2784.14,0.2,
1965,php,1.42,2.56,198.67,29.87,2485.98,0.11,
1966,php,1.5,5.4,213.29,30.37,2584.84,0.06,
1967,php,1.59,6.25,223.15,29.77,2352.95,0.02,
1968,php,1.63,2.36,242.87,30.17,2048.22,0.08,
1969,php,1.66,1.96,262.41,30.48,2047.38,0.05,
1970,php,1.9,14.38,201.92,30.39,2613.9,0.03,
1971,php,2.31,21.4,217.98,29.74,3005.03,0.08,
1972,php,2.5,8.2,230.07,30.18,2559.17,0.01,
1973,php,2.91,16.58,282.44,30.49,2472.7,0.16,
1974,php,3.91,34.16,377.11,30.02,2656.81,0.07,
1975,php,4.17,6.76,398.05,30.04,2525.88,0.01,
1976,php,4.55,9.2,445.8,29.83,2365.18,0.1,
1977,php,5,9.9,499.1,30.19,2283.02,0.18,
1978,php,5.37,7.33,561.38,30.19,2337.46,0.07,
1979,php,6.31,17.53,662.05,30.48,2162.62,0.16,
1980,php,7.46,18.2,761.02,30.36,2540.65,0.26,
1981,php,8.44,13.08,815.22,30.11,2279.15,0.32,
1982,php,9.3,10.22,828.57,30.27,2168.5,0.14,
1983,php,10.23,10.03,723.08,30.76,2077.79,0.31,
1984,php,15.39,50.34,667.67,30.33,2691.82,0.16,
1985,php,18.94,23.1,637.84,30.49,2614.38,0.12,
1986,php,19.16,1.15,605.73,30.36,2765.21,0.18,
1987,php,19.94,4.07,658.21,31.1,1986.88,0.32,
1988,php,22.7,13.86,734.43,30.9,2613.49,0.39,
1989,php,25.48,12.24,806.85,30.41,2646.44,0.27,
1990,php,28.58,12.18,820.49,30.7,2470.52,0.45,0.66
1991,php,34.09,19.26,821.45,30.63,2057.55,0.4,0.64
1992,php,37.04,8.65,936.15,30.68,1949.32,0.22,0.68
1993,php,39.53,6.72,938.76,30.57,2338.44,0.23,0.72
1994,php,43.63,10.39,1081.43,30.63,2258.06,0.31,0.76
1995,php,46.61,6.83,1222.29,30.4,2700.05,0.45,0.89
